created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2022-10-11T13:08:44+05:30,1,0,0,0,50,1,50,,,,,
2022-10-11T13:09:00+05:30,2,24,30,60,50,4,164,,,,,
2022-10-13T11:44:00+05:30,3,0,0,0,50,1,50,,,,,
2022-10-13T11:44:26+05:30,4,24,0,0,100,3,124,,,,,
2022-10-13T11:48:59+05:30,5,24,0,0,0,1,24,,,,,
2022-10-13T11:49:20+05:30,6,24,30,60,0,3,114,,,,,
2022-10-13T11:49:35+05:30,7,24,30,120,50,5,224,,,,,
2022-10-31T17:59:00+05:30,8,24,0,0,0,1,24,,,,,
2022-10-31T17:59:23+05:30,9,144,30,0,0,7,174,,,,,
2022-10-31T18:00:22+05:30,10,144,30,60,0,8,234,,,,,
2022-10-31T18:01:12+05:30,11,144,30,120,50,10,344,,,,,
2022-10-31T18:01:30+05:30,12,144,30,120,150,12,444,,,,,
2022-10-31T18:01:53+05:30,13,168,30,120,250,15,568,,,,,
2022-10-31T18:02:13+05:30,14,288,30,120,250,20,688,,,,,
2022-10-31T18:02:32+05:30,15,360,30,120,300,24,810,,,,,
2022-10-31T18:02:49+05:30,16,360,30,120,400,26,910,,,,,
2022-10-31T18:04:03+05:30,17,360,30,120,550,29,1060,,,,,
2022-10-31T18:04:53+05:30,18,0,0,0,50,1,50,,,,,
2022-10-31T18:20:01+05:30,19,0,0,60,0,1,60,,,,,
2022-10-31T18:40:23+05:30,20,24,0,0,0,1,24,,,,,
2022-10-31T18:40:40+05:30,21,24,30,0,50,3,104,,,,,
2022-10-31T18:41:14+05:30,22,24,30,60,50,4,164,,,,,
2022-10-31T19:42:26+05:30,23,0,0,60,0,1,60,,,,,
2022-10-31T19:42:45+05:30,24,0,30,60,50,3,140,,,,,
2022-10-31T19:43:01+05:30,25,72,30,60,100,7,262,,,,,
